author,author_sex,author_work_count,rating_count,log_author_work_count,bins
garrison keillor,male,214,1154.6666666666667,2.330413773349191,legendary
garry kasparov,male,91,189.0,1.9590413923210936,experienced
garry wills,male,82,3919.5,1.9138138523837167,experienced
garth ennis,male,1486,16225.125,3.1720188094245563,legendary
garth nix,male,168,28111.91304347826,2.225309281725863,legendary
garth stein,male,20,116609.75,1.3010299956639813,budding
gary a. braunbeck,male,219,415.0,2.3404441148401185,legendary
gary b. shelly,male,681,118.0,2.833147111912785,legendary
gary chapman,male,305,281630.0,2.484299839346786,legendary
gary collins,male,15,19.0,1.1760912590556813,budding
gary corby,male,10,471.0,1.0,newbie
gary d. schmidt,male,57,25250.0,1.7558748556724915,experienced
gary demar,male,57,155.5,1.7558748556724915,experienced
gary f. vanucci,male,16,32.0,1.2041199826559248,budding
gary gibson,male,31,2296.5,1.4913616938342726,budding
gary j. bass,male,5,1686.0,0.6989700043360189,newbie
gary jennings,male,65,7086.333333333333,1.8129133566428555,experienced
gary keller,male,32,40615.0,1.505149978319906,experienced
gary larson,male,53,12164.857142857143,1.724275869600789,experienced
gary paulsen,male,225,32930.25,2.3521825181113627,legendary
gary plowman,male,7,25.0,0.8450980400142568,newbie
gary russell,male,117,4432.5,2.0681858617461617,legendary
gary shteyngart,male,20,19062.0,1.3010299956639813,budding
gary smalley,male,209,70.0,2.3201462861110542,legendary
gary soto,male,112,1153.0,2.0492180226701815,legendary
gary vaynerchuk,male,24,27350.0,1.380211241711606,budding
gary williams,male,5,695.0,0.6989700043360189,newbie
gary zimak,male,9,27.0,0.9542425094393249,newbie
gary zukav,male,21,24361.5,1.3222192947339193,budding
gaston bachelard,male,55,2825.3333333333335,1.7403626894942439,experienced
gaston leroux,male,322,100409.0,2.507855871695831,legendary
gautam malkani,male,5,1494.0,0.6989700043360189,newbie
gavan daws,male,18,185.0,1.255272505103306,budding
gavin de becker,male,18,28006.0,1.255272505103306,budding
gavin edwards,male,23,3016.0,1.3617278360175928,budding
gavin extence,male,6,10782.5,0.7781512503836436,newbie
gavin maxwell,male,25,2733.0,1.3979400086720377,budding
gavin menzies,male,6,13042.0,0.7781512503836436,newbie
gayatri chakravorty spivak,female,59,50.5,1.7708520116421442,experienced
gayle forman,female,19,128120.22222222222,1.2787536009528289,budding
geert mak,male,46,3173.0,1.662757831681574,experienced
gellu naum,male,82,920.0,1.9138138523837167,experienced
gemma burgess,female,11,9320.5,1.0413926851582251,budding
gemma halliday,female,74,8037.0,1.8692317197309762,experienced
gemma james,female,37,2200.6,1.568201724066995,experienced
gemma malley,female,11,10688.333333333334,1.0413926851582251,budding
gen urobuchi,male,58,287.6666666666667,1.7634279935629373,experienced
gena d. lutz,female,30,560.0,1.4771212547196624,budding
gena showalter,female,187,19072.0,2.271841606536499,legendary
gene brewer,male,20,1982.0,1.3010299956639813,budding
gene luen yang,male,171,17458.666666666668,2.2329961103921536,legendary
gene stratton-porter,female,74,6865.2,1.8692317197309762,experienced
gene wilder,male,13,1656.0,1.1139433523068367,budding
gene wolfe,male,436,7895.0,2.639486489268586,legendary
geneen roth,female,27,7191.5,1.4313637641589874,budding
genevieve cogman,female,38,24578.5,1.5797835966168101,experienced
genevieve jack,female,21,4259.0,1.3222192947339193,budding
genki kawamura,male,7,10883.0,0.8450980400142568,newbie
gennifer albin,female,25,8816.5,1.3979400086720377,budding
gennifer choldenko,female,22,10799.25,1.3424226808222062,budding
geoff brown,male,41,116.0,1.6127838567197355,experienced
geoff colvin,male,10,662.0,1.0,newbie
geoff dyer,male,79,645.0,1.8976270912904414,experienced
geoff johns,male,1429,7245.428571428572,3.1550322287909704,legendary
geoff nicholson,male,40,98.0,1.6020599913279623,experienced
geoff rodkey,male,19,1001.3333333333334,1.2787536009528289,budding
geoff ryman,male,88,1245.0,1.9444826721501687,experienced
geoffrey c. ward,male,35,624.5,1.5440680443502757,experienced
geoffrey chaucer,male,481,185015.0,2.682145076373832,legendary
geoffrey huntington,male,8,664.0,0.9030899869919435,newbie
geoffrey robertson,male,37,368.0,1.568201724066995,experienced
geoffrey willans,male,11,573.0,1.0413926851582251,budding
